name,website,domain,cohort,state,sector
AGIRH Vagas,http://www.agirhvagas.com.br,agirhvagas.com.br,2025.1,Ceará,Recursos Humanos
ARANDU I PLATAFORMA DE GESTAO EM BIM,https://sites.google.com/view/aranduplataformabim/p%C3%A1gina-inicial,sites.google.com,2025.1,Sergipe,Construção civil
ByLab,https://globalteceducacional.com.br/,globalteceducacional.com.br,2025.1,Maranhão,Educação
ClassBuild,https://classbuild.com.br,classbuild.com.br,2025.1,Rio Grande do Norte,Educação
Coligo Tecnologia Ltda,http://www.coligo.com.br,coligo.com.br,2025.1,Rio Grande do Sul,Tecnologia da Informação e Comunicação
Cotus Tecnologia,http://www.cotus.com.br,cotus.com.br,2025.1,Sergipe,Construção civil
CP goiania Eirelli,https://www.desler.com.br,desler.com.br,2025.1,Goiás,Tecnologia da Informação e Comunicação
DokBot,https://dokbot.ia,dokbot.ia,2025.1,Sergipe,Tecnologia da Informação e Comunicação
Eficiência Energética - Reuso da água potável,https://comagua.ind.br/,comagua.ind.br,2025.1,São Paulo,Tecnologias Sustentáveis e Verdes
Estagiário,https://oestagiario.dev/,oestagiario.dev,2025.1,Santa Catarina,Varejo
EvoluMap Soluções Geoespaciais,https://www.evolumap.com/,evolumap.com,2025.1,Paraná,Agricultura
Exhibida Beauty - Beleza Inteligente,http://www.exhibida.com,exhibida.com,2025.1,Piauí,Cosméticos
eyllo,https://eyllo.com.br,eyllo.com.br,2025.1,Rio de Janeiro,Óleo e Gás
Goat,https://ibex.wmd.com.br/gestor/#/login,ibex.wmd.com.br,2025.1,Mato Grosso,Tecnologia da Informação e Comunicação
HEY PEOPLE,https://heypeople.com.br,heypeople.com.br,2025.1,Bahia,Tecnologia da Informação e Comunicação
Hipocampus EdTech,https://hiplade.com.br/,hiplade.com.br,2025.1,São Paulo,Educação
Immo 360,https://immo360.com.br,immo360.com.br,2025.1,Paraíba,Mercado Imobiliário
Linkeme,http://www.linkeme.app,linkeme.app,2025.1,São Paulo,Varejo
Marelo Logística Internacional e Tecnologia Ltda.,https://marelo.digital,marelo.digital,2025.1,São Paulo,Serviços Logísticos
Neo Negócios & Carreira,http://www.neonegociosecarreira.com.br,neonegociosecarreira.com.br,2025.1,São Paulo,Recursos Humanos
Niul,http://www.niul.com.br,niul.com.br,2025.1,São Paulo,Cosméticos
Planeta Pós Pandemia,https://www.instagram.com/planetapospandemia/,instagram.com,2025.1,São Paulo,Marketing e Mídia
PNP - Pay and Party,https://www.paynparty.com.br/,paynparty.com.br,2025.1,São Paulo,Tecnologia da Informação e Comunicação
Preço da Obra,http://www.precodaobra.com,precodaobra.com,2025.1,Ceará,Construção civil
ProbY: Plataforma Inteligente de Problemas Globais,https://proby.online,proby.online,2025.1,Rio Grande do Sul,Tecnologia da Informação e Comunicação
Proregistro,https://www.linkedin.com/company/proregistro/posts/?feedView=all,linkedin.com,2025.1,Santa Catarina,Setor Público
ReeferSys,http://www.reefersys.com.br,reefersys.com.br,2025.1,São Paulo,Serviços Logísticos
RICARDO PADUAN PEREIRA DE ARAÚJO,https://web.rastreamed.com.br/,web.rastreamed.com.br,2025.1,Minas Gerais,Saúde
SEALS Solutions,https://seals-solutions.com.br/,seals-solutions.com.br,2025.1,Rio de Janeiro,Serviços Logísticos
Sidkron Cyber Security,https://sidkron.com.br,sidkron.com.br,2025.1,Goiás,Setor financeiro
Smart Staff - Be Bossy,http://smartstaff.bebossy.com.br,smartstaff.bebossy.com.br,2025.1,São Paulo,Marketing e Mídia
Sparta,https://gosparta.com.br,gosparta.com.br,2025.1,São Paulo,Educação
Starket,http://www.starket.com.br,starket.com.br,2025.1,Bahia,Educação
TECFUEL,http://www.twcfuel.com.br,twcfuel.com.br,2025.1,Espírito Santo,Serviços Logísticos
THE Clientes,https://theclientes.com.br/,theclientes.com.br,2025.1,Piauí,Varejo
THEDSCAN,http://www.healthfultech.com.br,healthfultech.com.br,2025.1,Minas Gerais,Saúde
Winntech,https://winnwith.us/,winnwith.us,2025.1,Paraná,Tecnologia da Informação e Comunicação
Work resíduos,https://www.instagram.com/workresiduos?igsh=dTYzZHVzdjExcXNw,instagram.com,2025.1,Maranhão,Setor Público
Yaguareté: The Game,https://www.instagram.com/yaguarete.thegame/,instagram.com,2025.1,São Paulo,Tecnologia da Informação e Comunicação
AcessIA,https://acessia.com.br/,acessia.com.br,2025.1,Minas Gerais,Educação
Amari Tecnologia,https://www.instagram.com/amaritecnologia/,instagram.com,2025.1,Amapá,Preservação Ambiental
BLUEC,https://bluecocean.com/,bluecocean.com,2025.1,Rio Grande do Norte,Outros
Fipo Biopelle,https://fipobiopellet.com/,fipobiopellet.com,2025.1,Amazonas,Preservação Ambiental
GERADOR DE ENERGIA OFFGRID PORAQUÊ,http://poraque.com,poraque.com,2025.1,Amapá,Energia
INFRACITIES,https://infracities.com/,infracities.com,2025.1,Santa Catarina,Infraestrutura
LIBRAS.SE,https://www.libras.se/,libras.se,2025.1,Distrito Federal,Acessibilidade
LUCES LATAM ACADEMY: Universidade Corporativa,https://luces.academy/,luces.academy,2025.1,Santa Catarina,Educação
Nora Biotecnologia,http://www.norabiotecnologia.com.br,norabiotecnologia.com.br,2025.1,Rio Grande do Sul,Tecnologias Sustentáveis e Verdes
Start - industria de economia circular,http://www.startsolucoes.eco.br,startsolucoes.eco.br,2025.1,Bahia,Construção civil
Sucão da Rainha,http://sucaodarainha.com.br,sucaodarainha.com.br,2025.1,Rio de Janeiro,Alimentos (Indústria da Transformação)
Virdia,https://instagram.com/virdia.br,instagram.com,2025.1,Distrito Federal,Tecnologias Sustentáveis e Verdes
ZeroWasteX,http://www.zerowastex.com.br,zerowastex.com.br,2025.1,Santa Catarina,Gestão Pública
A Utilização de Agrominerais na Avicultura Paranaense,https://www.instagram.com/agromagnolia/,instagram.com,2024.2,Paraná,Pecuária
Academia da Respiração,http://academiadarespiracao.com.br,academiadarespiracao.com.br,2024.2,Distrito Federal,Saúde
ACES Arquitetura e Interiores,http://aces.arq.br,aces.arq.br,2024.2,Santa Catarina,Acessibilidade
agendUp,https://www.agendup.com.br,agendup.com.br,2024.2,Distrito Federal,Saúde
AGREGAMAIS,https://agregamaisamazonia.com/,agregamaisamazonia.com,2024.2,Amazonas,Agricultura
AgroSinc,https://agrosinc.app.br,agrosinc.app.br,2024.2,Alagoas,Agronegócio
AMIGA PET,http://www.amigapet.com.br,amigapet.com.br,2024.2,São Paulo,Pet
AmplyCode,http://amplycode.tech,amplycode.tech,2024.2,Minas Gerais,Agronegócio
Aqui Brasil,http://www.aquibrasil.com.br,aquibrasil.com.br,2024.2,Bahia,Cosméticos
AYA SAÚDE,http://www.ayasaude.com.br,ayasaude.com.br,2024.2,Ceará,Saúde
Bespoke,https://bespokestore.com.br/pages/quem-somos,bespokestore.com.br,2024.2,Pernambuco,Vestuário
BID365 Leilões Virtuais,https://leilao.bid365.app/,leilao.bid365.app,2024.2,Tocantins,Agronegócio
Bodymetrycs,http://bodymetrycs.com,bodymetrycs.com,2024.2,Minas Gerais,Saúde
Cangaço Tech,http://cangacotech.com,cangacotech.com,2024.2,Paraíba,Marketing e Mídia
Cãomigo,http://www.caomigo.com.br,caomigo.com.br,2024.2,Paraná,Pet
Carimbado,https://www.carimbado.com/,carimbado.com,2024.2,Rio Grande do Sul,Tecnologia da Informação e Comunicação
carristas,http://www.carristas.com.br,carristas.com.br,2024.2,Distrito Federal,Automóveis
ComPre - Comercialização de Precatórios,http://www.comprecatorios.com.br,comprecatorios.com.br,2024.2,Distrito Federal,Setor financeiro
Conexia - Mentoria Gestão e Compartilhamento do Conhecimento,https://conexia.club,conexia.club,2024.2,São Paulo,Recursos Humanos
Cool Tea Company,https://www.instagram.com/coolteacompany/?hl=pt-br,instagram.com,2024.2,Rio Grande do Sul,Saúde
Cris+club,http://www.crisclub.com,crisclub.com,2024.2,Rio de Janeiro,Tecnologias Sustentáveis e Verdes
Data4Company,https://www.data4company.com.br/,data4company.com.br,2024.2,Rio Grande do Sul,Tecnologia da Informação e Comunicação
DesenvolveX: Startup com foco em inovação social.,https://desenvolvex.com/,desenvolvex.com,2024.2,Rio Grande do Sul,Outros serviços
DIligo,http://www.diligo.com.br,diligo.com.br,2024.2,Santa Catarina,Varejo
