name,domain,dealroom_url,matched_name,hq_country,cohort
Abaccus Decision,abaccus.com.br,https://app.dealroom.co/companies/abaccus_1,Abaccus,Brazil,2025.1
Acelera Dados Prospecção Inteligente B2B,aceleradados.com.br,https://app.dealroom.co/companies/acelera_dados,Acelera Dados,Brazil,2025.1
Agile Healthtech,agilehealth.tech,https://app.dealroom.co/companies/agile_healthtech,Agile Healthtech,,2025.1
AIOTI Tecnologia,aioti.com.br,https://app.dealroom.co/companies/aioti_tecnologia_a,Aioti Tecnologia A,Brazil,2025.1
Alga,alga.earth,https://app.dealroom.co/companies/alga_2,Alga,Brazil,2025.1
Calcme,calcme.com.br,https://app.dealroom.co/companies/calcme_,Calcme,Brazil,2025.1
COFT,coft.com.br,https://app.dealroom.co/companies/coft,Coft,,2025.1
Daisee,daisee.io,https://app.dealroom.co/companies/daisee_1,DAISEE,Brazil,2025.1
Flowup,flowup.me,https://app.dealroom.co/companies/flowup,Flowup,Brazil,2025.1
Girx,xgoal360.com.br,https://app.dealroom.co/companies/xgoal_360_ai,XGOAL 360 AI,Brazil,2025.1
IANOVAR - ATIVE O FUTURO INOVA SIMPLES (I.S.),ianovar.com.br,https://app.dealroom.co/companies/ianovar,Ianovar,Brazil,2025.1
ICONECTE,iconecte.com,https://app.dealroom.co/companies/iconecte,Iconecte,,2025.1
seuManualPRO,seumanualpro.com,https://app.dealroom.co/companies/seumanualpro,Seumanualpro,,2025.1
Eco.InPact,ecoinpact.com,https://app.dealroom.co/companies/eco_in_pact_technology_and_sustainability,Eco In Pact Technology and Sustainability,Brazil,2025.1
ESGpec,esgpec.com.br,https://app.dealroom.co/companies/esgpec,ESGPec,Brazil,2025.1
Founders Club,foundersclub.com.br,https://app.dealroom.co/companies/founders_club_,Founders Club,Brazil,2025.1
Maglumni Industria e Comércio Ltda,maglumni.com.br,https://app.dealroom.co/companies/maglumni,Maglumni,,2025.1
Sanapp Gestão Inteligente de Ativos de Saneamento,geosanapp.com.br,https://app.dealroom.co/companies/sanapp,Sanapp,Brazil,2025.1
Sandora,sandora.me,https://app.dealroom.co/companies/sandora_,Sandora,Brazil,2025.1
Aprova AI,aprova-ai.com,https://app.dealroom.co/companies/aprova_ai,Aprova Ai,,2024.2
BIZEUS,bizeus.com,https://app.dealroom.co/companies/bizeus,Bizeus,,2024.2
BLUE RISE HEALTH TECH,bluerisegroup.com.br,https://app.dealroom.co/companies/blue_rise_group,Blue Rise Group,Brazil,2024.2
Carreirafit.com,carreirafit.com,https://app.dealroom.co/companies/carreirafitcom,Carreirafitcom,,2024.2
Clínica Experts,clinicaexperts.com.br,https://app.dealroom.co/companies/cl_nica_experts,Clínica Experts,Brazil,2024.2
COFT,coft.com.br,https://app.dealroom.co/companies/coft,Coft,,2024.2
CoProdux,coprodux.com,https://app.dealroom.co/companies/coprodux_a_plataforma_do_social_media,CoProdux | A Plataforma do Social Media,Brazil,2024.2
Didati,didati.com.br,https://app.dealroom.co/companies/didati_from_pdm_desenvolvimento_de_sistemas,Didati from PDM Desenvolvimento de Sistemas,Brazil,2024.2
eevento Brasil,eevento.com.br,https://app.dealroom.co/companies/eevento_brasil,EEVENTO BRASIL,Brazil,2024.2
Entre Nuvens,entrenuvens.com,https://app.dealroom.co/companies/entre_nuvens,Entre Nuvens,,2024.2
Green Technology & Toxicology for Green Business (BISPORA),bispora.com.br,https://app.dealroom.co/companies/bispora,Bispora,Brazil,2024.2
GUMPee,gumpee.com.br,https://app.dealroom.co/companies/gumpee,Gumpee,,2024.2
Implantação de Consultório Volante de Podiatria Clínica,i9nursing.com.br,https://app.dealroom.co/companies/i9nursing,I9NURSING,Brazil,2024.2
Investeendo,investeendo.com,https://app.dealroom.co/companies/investeendo,iNVESTeeNDO,Brazil,2024.2
Letzee,letzee.ai,https://app.dealroom.co/companies/letzee,Letzee,Brazil,2024.2
Mercado Net Zero,leaf4all.com,https://app.dealroom.co/companies/leaf4all,Leaf4All,Brazil,2024.2
Naga.ia,nagaia.com.br,https://app.dealroom.co/companies/naga_ia,Naga IA,Brazil,2024.2
NautiX Hub,nautixhub.com,https://app.dealroom.co/companies/nautix_hub,Nautix Hub,,2024.2
OFF GRID martech,offgridmartech.com.br,https://app.dealroom.co/companies/ingrid_andrade_de_aguiar_03939802271,Ingrid Andrade De Aguiar 03939802271,Brazil,2024.2
OLT CLOUD,oltcloud.co,https://app.dealroom.co/companies/olt_cloud_1,Olt Cloud,,2024.2
Recrutadora.AI,recrutadora.ai,https://app.dealroom.co/companies/recrutadoraai,RecrutadoraAI,Brazil,2024.2
Sagui.AI,sagui.ai,https://app.dealroom.co/companies/sagui_ai,Sagui.AI,Brazil,2024.2
Sappens,sappens.com.br,https://app.dealroom.co/companies/sappens,Sappens,Brazil,2024.2
Simplidados,simplidados.com.br,https://app.dealroom.co/companies/simplidados,Simplidados,,2024.2
Statsales,statsales.com.br,https://app.dealroom.co/companies/statsales,Statsales,Brazil,2024.2
Whizr,whizr.app,https://app.dealroom.co/companies/whizr,Whizr,Brazil,2024.2
Atena ESG,atenaesg.eco.br,https://app.dealroom.co/companies/atena_esg,Atena Esg,,2024.2
