URL,Filters,,,,,,,,,,,,,,
https://app.dealroom.co/investors/f/all_slug_locations/anyof_~united_states~/company_status/not_closed/investor_type/anyof_accelerator?selectedColumns=name%2CpreferredRound%2ChqLocations%2CdealSizeEnhanced%2CinvestorNumberOfRoundsIndustry%2CinvestorTotalFundingEnhanced%2CinvestorPorfolioSize%2CinvestmentsValuationEnhanced%2Cinvestments%2CinvestorExitsNum%2CinvestorExitScore%2CinvestorExitsFundingEnhanced%2ClpInvestmentsNum%2ClpInvestments&sort=-rounds_count_12_months&investorNumberOfRoundsIndustry=rounds_count_12_months&heatMapType=&groupId=1413&id=92070,Include All locations: United states; Investor type: Accelerator; Exclude Company status: Closed,,,,,,,,,,,,,,
ID,Type,Dealroom URL,Website,Name,HQ region,HQ country,HQ city,Sectors of focus,Launch year,Last round date,Portfolio size,Rounds number (12 months),Exits total (USD M),Exits number,Total value of current portfolio (USD M)
20977,accelerator,https://app.dealroom.co/investors/y_combinator,http://ycombinator.com/,Y Combinator,North America,United States,San Francisco,,2005,Sep/2026,7813,1187,58729.44,0,668837.4
1452943,accelerator,https://app.dealroom.co/investors/antler_co,https://antler.co/,Antler,Asia,Singapore,Singapore,,2018,Sep/2026,2180,335,23.24,0,32939.96
20996,accelerator,https://app.dealroom.co/investors/techstars,https://www.techstars.com/,Techstars,North America,United States,New York City,b corp,2006,Aug/2026,5394,53,19504.3,0,95343.69
2007585,accelerator,https://app.dealroom.co/investors/innosphere_4,https://innosphere.org,Innosphere,North America,United States,Fort Collins,,1999,May/2026,48,35,,0,303.13
2527212,accelerator,https://app.dealroom.co/investors/third_derivative,https://third-derivative.org/,Third Derivative,North America,United States,Denver,,2020,May/2026,314,26,250,0,10668.86
142007,accelerator,https://app.dealroom.co/investors/alphalab,http://alphalab.org,AlphaLab,North America,United States,Pittsburgh,,2008,Jun/2026,168,22,120,0,2852.84
4642982,accelerator,https://app.dealroom.co/investors/sanabil_accelerator_by_500_global,https://www.sanabil500.com/en-US/,Sanabil Accelerator by 500 Global,North America,United States,San Francisco,,2022,May/2026,2186,15,12731.47,0,59388.57
144892,accelerator,https://app.dealroom.co/investors/gener8tor,https://www.gener8tor.com,gener8tor,North America,United States,Madison,b corp,2012,Aug/2026,1428,18,79.5,0,6801.08
29609,accelerator,https://app.dealroom.co/investors/boost_vc,https://www.boost.vc/,Boost VC,North America,United States,San Mateo,bitcoin,2012,Sep/2026,297,17,981.15,0,32849.13
6303256,accelerator,https://app.dealroom.co/investors/accel_ks,https://www.kansascommerce.gov/accel-ks/,ACCEL-KS,North America,United States,Lawrence,investing in startups,2025,Jun/2026,16,16,,,2.4
